term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	True	True	overlap	1,3,4,1	0.1816	0.1597	0.0918	0.0178	0.1444	0.1299	0.5188	0.1561
tfidf	True	True	overlap	1,1,1,4	0.1607	0.1369	0.0839	0.0212	0.1271	0.1151	0.5022	0.1560
boolean	False	False	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
